join_key,smp_id,Lat_Site.x,Long_Site.x,Top_depth_cm.x,Bottom_depth_cm.x,scan_path_name,SOC,Bulk.Density_1_3.BAR,Bulk.Density_ovendry,Calcium_Carbonate_equivalent,Carbon_Total,CEC,Clay,Nitrogen_Total,pH,Phosphorus_Mehlich3,Phosphorus_Olsen,Potassium,Sand,Silt
101049XS02,101049,37.9477959,-98.2844391,69,83,101049XS02.0,0.11,1.6549835399999999,1.7711667200000001,1.5015259999999999,0.28505402000000002,7.1166654,11.2847449,3.9283063E-2,8.34,11.6942658,NA,NA,75.4,13.3
101049XS03,101049,37.9477959,-98.2844391,69,83,101049XS03.0,0.11,1.6549835399999999,1.7711667200000001,1.5015259999999999,0.28505402000000002,7.1166654,11.2847449,3.9283063E-2,8.34,11.6942658,NA,NA,75.4,13.3
101049XS04,101049,37.9477959,-98.2844391,69,83,101049XS04.0,0.11,1.6549835399999999,1.7711667200000001,1.5015259999999999,0.28505402000000002,7.1166654,11.2847449,3.9283063E-2,8.34,11.6942658,NA,NA,75.4,13.3
101050XS01,101050,37.9477959,-98.2844391,83,108,101050XS01.0,0.036,1.63906,1.71442794,0.95478799999999997,0.14954199000000001,7.1918133,10.5919927,NA,8.36,10.3924126,NA,NA,75.8,13.6
101050XS02,101050,37.9477959,-98.2844391,83,108,101050XS02.0,0.036,1.63906,1.71442794,0.95478799999999997,0.14954199000000001,7.1918133,10.5919927,NA,8.36,10.3924126,NA,NA,75.8,13.6
101050XS03,101050,37.9477959,-98.2844391,83,108,101050XS03.0,0.036,1.63906,1.71442794,0.95478799999999997,0.14954199000000001,7.1918133,10.5919927,NA,8.36,10.3924126,NA,NA,75.8,13.6
101050XS04,101050,37.9477959,-98.2844391,83,108,101050XS04.0,0.036,1.63906,1.71442794,0.95478799999999997,0.14954199000000001,7.1918133,10.5919927,NA,8.36,10.3924126,NA,NA,75.8,13.6
101051XS01,101051,37.9477959,-98.2844391,108,124,101051XS01.0,0.0964,1.6562720799999999,1.72830825,8.7829479999999993,1.15346948,5.4397853,11.7539668,2.2124088E-2,8.39,NA,NA,NA,72.8,15.4
101051XS02,101051,37.9477959,-98.2844391,108,124,101051XS02.0,0.0964,1.6562720799999999,1.72830825,8.7829479999999993,1.15346948,5.4397853,11.7539668,2.2124088E-2,8.39,NA,NA,NA,72.8,15.4
101051XS03,101051,37.9477959,-98.2844391,108,124,101051XS03.0,0.0964,1.6562720799999999,1.72830825,8.7829479999999993,1.15346948,5.4397853,11.7539668,2.2124088E-2,8.39,NA,NA,NA,72.8,15.4
101051XS04,101051,37.9477959,-98.2844391,108,124,101051XS04.0,0.0964,1.6562720799999999,1.72830825,8.7829479999999993,1.15346948,5.4397853,11.7539668,2.2124088E-2,8.39,NA,NA,NA,72.8,15.4
101052XS01,101052,37.9477959,-98.2844391,124,164,101052XS01.0,0.0432,NA,NA,2.1406369999999999,0.30459429999999998,1.7027851,3.9640849,NA,8.14,5.8514169000000003,NA,NA,92.9,3.1
101052XS02,101052,37.9477959,-98.2844391,124,164,101052XS02.0,0.0432,NA,NA,2.1406369999999999,0.30459429999999998,1.7027851,3.9640849,NA,8.14,5.8514169000000003,NA,NA,92.9,3.1
101052XS03,101052,37.9477959,-98.2844391,124,164,101052XS03.0,0.0432,NA,NA,2.1406369999999999,0.30459429999999998,1.7027851,3.9640849,NA,8.14,5.8514169000000003,NA,NA,92.9,3.1
101052XS04,101052,37.9477959,-98.2844391,124,164,101052XS04.0,0.0432,NA,NA,2.1406369999999999,0.30459429999999998,1.7027851,3.9640849,NA,8.14,5.8514169000000003,NA,NA,92.9,3.1
101053XS01,101053,37.9477959,-98.2844391,164,190,101053XS01.0,0.1556,NA,NA,13.124288999999999,1.7288005799999999,5.0325246,16.8026393,2.2125428999999999E-2,8.08,NA,NA,NA,61.1,22.1
101053XS02,101053,37.9477959,-98.2844391,164,190,101053XS02.0,0.1556,NA,NA,13.124288999999999,1.7288005799999999,5.0325246,16.8026393,2.2125428999999999E-2,8.08,NA,NA,NA,61.1,22.1
101053XS03,101053,37.9477959,-98.2844391,164,190,101053XS03.0,0.1556,NA,NA,13.124288999999999,1.7288005799999999,5.0325246,16.8026393,2.2125428999999999E-2,8.08,NA,NA,NA,61.1,22.1
101053XS04,101053,37.9477959,-98.2844391,164,190,101053XS04.0,0.1556,NA,NA,13.124288999999999,1.7288005799999999,5.0325246,16.8026393,2.2125428999999999E-2,8.08,NA,NA,NA,61.1,22.1
101054XS01,101054,37.9477959,-98.2844391,190,221,101054XS01.0,0.098,NA,NA,6.849685,0.92481639000000004,4.439939,11.7724917,NA,8.09,0.76397879999999996,NA,NA,72,16.2
101054XS02,101054,37.9477959,-98.2844391,190,221,101054XS02.0,0.098,NA,NA,6.849685,0.92481639000000004,4.439939,11.7724917,NA,8.09,0.76397879999999996,NA,NA,72,16.2
101054XS03,101054,37.9477959,-98.2844391,190,221,101054XS03.0,0.098,NA,NA,6.849685,0.92481639000000004,4.439939,11.7724917,NA,8.09,0.76397879999999996,NA,NA,72,16.2
101054XS04,101054,37.9477959,-98.2844391,190,221,101054XS04.0,0.098,NA,NA,6.849685,0.92481639000000004,4.439939,11.7724917,NA,8.09,0.76397879999999996,NA,NA,72,16.2
101055XS01,101055,37.9477959,-98.2844391,221,263,101055XS01.0,-0.085199,NA,NA,0.71367400000000003,NA,3.177242,5.4865492,NA,8.21,6.6336760999999997,NA,NA,90.3,4.2
101055XS02,101055,37.9477959,-98.2844391,221,263,101055XS02.0,-0.085199,NA,NA,0.71367400000000003,NA,3.177242,5.4865492,NA,8.21,6.6336760999999997,NA,NA,90.3,4.2
101055XS03,101055,37.9477959,-98.2844391,221,263,101055XS03.0,-0.085199,NA,NA,0.71367400000000003,NA,3.177242,5.4865492,NA,8.21,6.6336760999999997,NA,NA,90.3,4.2
101055XS04,101055,37.9477959,-98.2844391,221,263,101055XS04.0,-0.085199,NA,NA,0.71367400000000003,NA,3.177242,5.4865492,NA,8.21,6.6336760999999997,NA,NA,90.3,4.2
101056XS01,101056,37.947197,-98.2826157,0,26,101056XS01.0,0.75,1.3431442499999999,1.4737533599999999,3.9974090000000002,1.2289772699999999,8.2255772,13.0505123,NA,8.83,3.9420025999999999,NA,NA,69.5,17.4
